session,block,valence,trial,feedback_common,present_pavlovian,n_stimuli,early_stop,n_groups,stimulus_group,stimulus_group_id,stimulus_middle,feedback_middle,optimal_side,feedback_optimal,optimal_right,feedback_right,feedback_left,stimulus_right,stimulus_left,n_confusing,optimal_A,primary_outcome_A,primary_outcome_B,secondary_outcome_A,secondary_outcome_B,feedback_A,feedback_B,stimulus_A,stimulus_B,A_on_right
screening,1,1,41,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,42,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,43,false,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,44,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,45,true,false,2,true,1,1,1,,,,0.5,true,0.5,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,46,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,47,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,48,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,49,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,50,true,false,2,true,1,1,1,,,,0.5,true,0.5,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
wk0,1,0,1,true,true,2,true,1,1,1,,,,,false,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,true
wk0,1,0,2,true,true,2,true,1,1,1,,,,,false,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,true
wk0,1,0,3,true,true,2,true,1,1,1,,,,,true,1.0,0.5,jigsaw_puzzle_2.jpg,bamboo_1.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,false
wk0,1,0,4,true,true,2,true,1,1,1,,,,,false,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,true
wk0,1,0,5,true,true,2,true,1,1,1,,,,,true,1.0,0.5,jigsaw_puzzle_2.jpg,bamboo_1.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,false
wk0,1,0,6,true,true,2,true,1,1,1,,,,,true,1.0,0.5,jigsaw_puzzle_2.jpg,bamboo_1.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,false
wk0,1,0,7,true,true,2,true,1,1,1,,,,,false,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,true
wk0,1,0,8,true,true,2,true,1,1,1,,,,,false,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,true
wk0,1,0,9,true,true,2,true,1,1,1,,,,,true,1.0,0.5,jigsaw_puzzle_2.jpg,bamboo_1.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,false
wk0,1,0,10,true,true,2,true,1,1,1,,,,,true,1.0,0.5,jigsaw_puzzle_2.jpg,bamboo_1.jpg,0,false,0.5,1.0,,,0.5,1.0,bamboo_1.jpg,jigsaw_puzzle_2.jpg,false
wk0,2,0,1,true,true,2,true,1,1,2,,,,,true,1.0,-0.5,bamboo_2.jpg,luggage_1.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,false
wk0,2,0,2,true,true,2,true,1,1,2,,,,,true,1.0,-0.5,bamboo_2.jpg,luggage_1.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,false
wk0,2,0,3,true,true,2,true,1,1,2,,,,,true,1.0,-0.5,bamboo_2.jpg,luggage_1.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,false
wk0,2,0,4,true,true,2,true,1,1,2,,,,,true,1.0,-0.5,bamboo_2.jpg,luggage_1.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,false
wk0,2,0,5,true,true,2,true,1,1,2,,,,,true,1.0,-0.5,bamboo_2.jpg,luggage_1.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,false
wk0,2,0,6,true,true,2,true,1,1,2,,,,,false,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,true
wk0,2,0,7,true,true,2,true,1,1,2,,,,,false,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,true
wk0,2,0,8,true,true,2,true,1,1,2,,,,,false,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,true
wk0,2,0,9,true,true,2,true,1,1,2,,,,,false,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,true
wk0,2,0,10,true,true,2,true,1,1,2,,,,,false,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,0,false,-0.5,1.0,,,-0.5,1.0,luggage_1.jpg,bamboo_2.jpg,true
wk0,3,0,1,true,true,2,true,1,1,3,,,,,false,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,true
wk0,3,0,2,true,true,2,true,1,1,3,,,,,false,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,true
wk0,3,0,3,true,true,2,true,1,1,3,,,,,true,0.5,-1.0,luggage_2.jpg,pizza_1.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,false
wk0,3,0,4,true,true,2,true,1,1,3,,,,,true,0.5,-1.0,luggage_2.jpg,pizza_1.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,false
wk0,3,0,5,true,true,2,true,1,1,3,,,,,false,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,true
wk0,3,0,6,true,true,2,true,1,1,3,,,,,true,0.5,-1.0,luggage_2.jpg,pizza_1.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,false
wk0,3,0,7,true,true,2,true,1,1,3,,,,,false,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,true
wk0,3,0,8,true,true,2,true,1,1,3,,,,,true,0.5,-1.0,luggage_2.jpg,pizza_1.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,false
wk0,3,0,9,true,true,2,true,1,1,3,,,,,true,0.5,-1.0,luggage_2.jpg,pizza_1.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,false
wk0,3,0,10,true,true,2,true,1,1,3,,,,,false,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,0,false,-1.0,0.5,,,-1.0,0.5,pizza_1.jpg,luggage_2.jpg,true
wk0,4,0,1,true,true,2,true,1,1,4,,,,,true,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,true
wk0,4,0,2,true,true,2,true,1,1,4,,,,,false,-1.0,-0.01,pizza_2.jpg,bun_1.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,false
wk0,4,0,3,true,true,2,true,1,1,4,,,,,true,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,true
wk0,4,0,4,true,true,2,true,1,1,4,,,,,false,-1.0,-0.01,pizza_2.jpg,bun_1.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,false
wk0,4,0,5,true,true,2,true,1,1,4,,,,,true,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,true
wk0,4,0,6,true,true,2,true,1,1,4,,,,,true,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,true
wk0,4,0,7,true,true,2,true,1,1,4,,,,,true,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,true
wk0,4,0,8,true,true,2,true,1,1,4,,,,,false,-1.0,-0.01,pizza_2.jpg,bun_1.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,false
wk0,4,0,9,true,true,2,true,1,1,4,,,,,false,-1.0,-0.01,pizza_2.jpg,bun_1.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,false
wk0,4,0,10,true,true,2,true,1,1,4,,,,,false,-1.0,-0.01,pizza_2.jpg,bun_1.jpg,0,true,-0.01,-1.0,,,-0.01,-1.0,bun_1.jpg,pizza_2.jpg,false
wk0,5,0,1,true,true,2,true,1,1,5,,,,,true,0.5,-0.5,bun_2.jpg,horseshoe_1.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,false
wk0,5,0,2,true,true,2,true,1,1,5,,,,,false,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,true
wk0,5,0,3,true,true,2,true,1,1,5,,,,,true,0.5,-0.5,bun_2.jpg,horseshoe_1.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,false
wk0,5,0,4,true,true,2,true,1,1,5,,,,,false,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,true
wk0,5,0,5,true,true,2,true,1,1,5,,,,,false,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,true
wk0,5,0,6,true,true,2,true,1,1,5,,,,,true,0.5,-0.5,bun_2.jpg,horseshoe_1.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,false
wk0,5,0,7,false,true,2,true,1,1,5,,,,,true,-1.0,1.0,bun_2.jpg,horseshoe_1.jpg,1,false,-0.5,0.5,1.0,-1.0,1.0,-1.0,horseshoe_1.jpg,bun_2.jpg,false
wk0,5,0,8,true,true,2,true,1,1,5,,,,,true,0.5,-0.5,bun_2.jpg,horseshoe_1.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,false
wk0,5,0,9,true,true,2,true,1,1,5,,,,,false,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,true
wk0,5,0,10,true,true,2,true,1,1,5,,,,,false,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,1,false,-0.5,0.5,1.0,-1.0,-0.5,0.5,horseshoe_1.jpg,bun_2.jpg,true
wk0,6,0,1,true,true,2,true,1,1,6,,,,,false,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,true
wk0,6,0,2,true,true,2,true,1,1,6,,,,,false,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,true
wk0,6,0,3,false,true,2,true,1,1,6,,,,,false,-0.5,0.5,paintbrush_1.jpg,horseshoe_2.jpg,1,false,0.01,-0.01,-0.5,0.5,-0.5,0.5,paintbrush_1.jpg,horseshoe_2.jpg,true
wk0,6,0,4,true,true,2,true,1,1,6,,,,,false,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,true
wk0,6,0,5,true,true,2,true,1,1,6,,,,,false,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,true
wk0,6,0,6,true,true,2,true,1,1,6,,,,,true,-0.01,0.01,horseshoe_2.jpg,paintbrush_1.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,false
wk0,6,0,7,true,true,2,true,1,1,6,,,,,true,-0.01,0.01,horseshoe_2.jpg,paintbrush_1.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,false
wk0,6,0,8,true,true,2,true,1,1,6,,,,,true,-0.01,0.01,horseshoe_2.jpg,paintbrush_1.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,false
wk0,6,0,9,true,true,2,true,1,1,6,,,,,true,-0.01,0.01,horseshoe_2.jpg,paintbrush_1.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,false
wk0,6,0,10,true,true,2,true,1,1,6,,,,,true,-0.01,0.01,horseshoe_2.jpg,paintbrush_1.jpg,1,false,0.01,-0.01,-0.5,0.5,0.01,-0.01,paintbrush_1.jpg,horseshoe_2.jpg,false
wk0,7,0,1,true,true,2,true,1,1,7,,,,,true,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,true
wk0,7,0,2,false,true,2,true,1,1,7,,,,,true,-0.5,-1.0,ice_pack_1.jpg,paintbrush_2.jpg,1,true,1.0,0.01,-0.5,-1.0,-0.5,-1.0,ice_pack_1.jpg,paintbrush_2.jpg,true
wk0,7,0,3,true,true,2,true,1,1,7,,,,,true,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,true
wk0,7,0,4,true,true,2,true,1,1,7,,,,,false,0.01,1.0,paintbrush_2.jpg,ice_pack_1.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,false
wk0,7,0,5,true,true,2,true,1,1,7,,,,,true,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,true
wk0,7,0,6,true,true,2,true,1,1,7,,,,,false,0.01,1.0,paintbrush_2.jpg,ice_pack_1.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,false
wk0,7,0,7,true,true,2,true,1,1,7,,,,,false,0.01,1.0,paintbrush_2.jpg,ice_pack_1.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,false
wk0,7,0,8,true,true,2,true,1,1,7,,,,,false,0.01,1.0,paintbrush_2.jpg,ice_pack_1.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,false
wk0,7,0,9,true,true,2,true,1,1,7,,,,,false,0.01,1.0,paintbrush_2.jpg,ice_pack_1.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,false
wk0,7,0,10,true,true,2,true,1,1,7,,,,,true,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,1,true,1.0,0.01,-0.5,-1.0,1.0,0.01,ice_pack_1.jpg,paintbrush_2.jpg,true
wk0,8,0,1,true,true,2,true,1,1,8,,,,,true,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,true
wk0,8,0,2,true,true,2,true,1,1,8,,,,,false,-1.0,1.0,ice_pack_2.jpg,pig_1.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,false
wk0,8,0,3,true,true,2,true,1,1,8,,,,,false,-1.0,1.0,ice_pack_2.jpg,pig_1.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,false
wk0,8,0,4,true,true,2,true,1,1,8,,,,,true,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,true
wk0,8,0,5,true,true,2,true,1,1,8,,,,,false,-1.0,1.0,ice_pack_2.jpg,pig_1.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,false
wk0,8,0,6,true,true,2,true,1,1,8,,,,,true,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,true
wk0,8,0,7,true,true,2,true,1,1,8,,,,,true,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,true
wk0,8,0,8,true,true,2,true,1,1,8,,,,,true,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,true
wk0,8,0,9,false,true,2,true,1,1,8,,,,,false,0.01,-1.0,ice_pack_2.jpg,pig_1.jpg,1,true,1.0,-1.0,-1.0,0.01,-1.0,0.01,pig_1.jpg,ice_pack_2.jpg,false
wk0,8,0,10,true,true,2,true,1,1,8,,,,,false,-1.0,1.0,ice_pack_2.jpg,pig_1.jpg,1,true,1.0,-1.0,-1.0,0.01,1.0,-1.0,pig_1.jpg,ice_pack_2.jpg,false
wk0,9,0,1,true,true,2,true,1,1,9,,,,,true,1.0,-0.01,pig_2.jpg,sugar_cube_1.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,false
wk0,9,0,2,true,true,2,true,1,1,9,,,,,false,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,true
wk0,9,0,3,true,true,2,true,1,1,9,,,,,true,1.0,-0.01,pig_2.jpg,sugar_cube_1.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,false
wk0,9,0,4,false,true,2,true,1,1,9,,,,,true,-0.01,-0.5,pig_2.jpg,sugar_cube_1.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.5,-0.01,sugar_cube_1.jpg,pig_2.jpg,false
wk0,9,0,5,false,true,2,true,1,1,9,,,,,true,-0.01,-0.5,pig_2.jpg,sugar_cube_1.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.5,-0.01,sugar_cube_1.jpg,pig_2.jpg,false
wk0,9,0,6,true,true,2,true,1,1,9,,,,,false,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,true
wk0,9,0,7,true,true,2,true,1,1,9,,,,,true,1.0,-0.01,pig_2.jpg,sugar_cube_1.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,false
wk0,9,0,8,true,true,2,true,1,1,9,,,,,false,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,true
wk0,9,0,9,true,true,2,true,1,1,9,,,,,false,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,2,false,-0.01,1.0,-0.5,-0.01,-0.01,1.0,sugar_cube_1.jpg,pig_2.jpg,true
